"Year","Age","Female","Male","Total"
1950,"0",6.1759,7.1679,0.066844
1950,"1",1.1354,1.1177,0.011264
1950,"2",0.3606,0.3956,0.003785
1950,"3",0.2099,0.2341,0.002223
1950,"4",0.1603,0.1602,0.001603
1950,"5",0.1107,0.1412,0.001263
1950,"6",0.0963,0.1148,0.001057
1950,"7",0.087,0.1026,0.00095
1950,"8",0.07,0.09,0.000802
1950,"9",0.0635,0.0824,0.000731
1950,"10",0.065,0.0804,0.000728
1950,"11",0.065,0.0866,0.00076
1950,"12",0.0664,0.0789,0.000728
1950,"13",0.0739,0.0819,0.00078
1950,"14",0.0797,0.0893,0.000845
1950,"15",0.079,0.1121,0.000957
1950,"16",0.0947,0.1231,0.00109
1950,"17",0.104,0.1332,0.001187
1950,"18",0.1119,0.1472,0.001296
1950,"19",0.1222,0.1577,0.001401
1950,"20",0.1226,0.1651,0.00144
1950,"21",0.1405,0.1771,0.001589
1950,"22",0.1283,0.1944,0.001613
1950,"23",0.148,0.2114,0.001794
1950,"24",0.1453,0.1906,0.001676
1950,"25",0.1545,0.1958,0.001747
1950,"26",0.1605,0.2069,0.001831
1950,"27",0.168,0.2036,0.001852
1950,"28",0.1747,0.2051,0.001893
1950,"29",0.1785,0.2075,0.001924
1950,"30",0.174,0.2337,0.002026
1950,"31",0.177,0.2266,0.002008
1950,"32",0.1702,0.2402,0.002037
1950,"33",0.1942,0.2293,0.002111
1950,"34",0.2081,0.2459,0.002263
1950,"35",0.2033,0.2659,0.002333
1950,"36",0.2216,0.2624,0.00241
1950,"37",0.23,0.2983,0.002625
1950,"38",0.2384,0.3239,0.002789
1950,"39",0.2495,0.3541,0.002994
1950,"40",0.2844,0.3581,0.0032
1950,"41",0.2809,0.3911,0.003344
1950,"42",0.302,0.4376,0.003676
1950,"43",0.3072,0.4644,0.003833
1950,"44",0.3506,0.526,0.004355
1950,"45",0.3743,0.5801,0.004737
1950,"46",0.3848,0.6392,0.005073
1950,"47",0.4078,0.6284,0.005138
1950,"48",0.4591,0.6994,0.005745
1950,"49",0.4873,0.822,0.006469
1950,"50",0.5075,0.8433,0.006657
1950,"51",0.5522,0.9164,0.007215
1950,"52",0.6469,1.0181,0.008168
1950,"53",0.6715,1.0943,0.008615
1950,"54",0.7314,1.1875,0.009327
1950,"55",0.7971,1.2662,0.010035
1950,"56",0.8679,1.3518,0.010831
1950,"57",0.9442,1.4885,0.011881
1950,"58",0.9935,1.5694,0.012522
1950,"59",1.1302,1.7007,0.013848
1950,"60",1.2247,1.8401,0.014981
1950,"61",1.313,1.918,0.015818
1950,"62",1.5422,2.1318,0.018044
1950,"63",1.6639,2.3463,0.019685
1950,"64",1.827,2.4312,0.020968
1950,"65",2.1394,2.7697,0.024224
1950,"66",2.373,2.9191,0.026199
1950,"67",2.5585,3.1312,0.028189
1950,"68",2.9998,3.6116,0.032801
1950,"69",3.1837,3.7984,0.034651
1950,"70",3.6627,4.3661,0.03986
1950,"71",4.1336,4.845,0.044639
1950,"72",4.6679,5.3672,0.049927
1950,"73",5.2821,5.912,0.055745
1950,"74",5.8883,6.781,0.063008
1950,"75",6.3378,7.0667,0.066722
1950,"76",7.1239,8.2228,0.076257
1950,"77",8.1025,9.1425,0.085782
1950,"78",8.8359,9.9453,0.093422
1950,"79",9.5635,10.7982,0.101202
1950,"80",11.3434,12.5682,0.118932
1950,"81",11.7742,13.3628,0.124839
1950,"82",13.5059,14.8488,0.141031
1950,"83",14.5355,15.9499,0.151607
1950,"84",16.3118,18.6608,0.17342
1950,"85",17.4251,19.6097,0.183765
1950,"86",18.8547,21.6637,0.200534
1950,"87",20.9047,23.1784,0.218552
1950,"88",21.8128,26.9425,0.239147
1950,"89",23.7824,27.886,0.254224
1950,"90",27.4537,32.3798,0.293849
1950,"100",78.3325,9.3794,0.629151
1950,"101",81.5644,84.0572,0.822419
1950,"102",87.2455,64.69,0.809717
1950,"103",43.2277,111.5242,0.54315
1950,"104",46.5839,0,0.420757
1950,"105",0,NA,0
1950,"106",0,NA,0
1950,"107",NA,NA,NA
1950,"108",NA,NA,NA
1950,"109",NA,NA,NA
1950,"110+",NA,NA,NA
1951,"0",6.2706,7.2072,0.067505
1951,"1",1.1057,1.1021,0.011039
1951,"2",0.3404,0.3562,0.003485
1951,"3",0.1982,0.2158,0.002072
1951,"4",0.1515,0.1575,0.001546
1951,"5",0.1075,0.1275,0.001178
1951,"6",0.0912,0.1071,0.000993
1951,"7",0.0847,0.0935,0.000892
1951,"8",0.0679,0.0886,0.000784
1951,"9",0.0624,0.0784,0.000705
1951,"10",0.0568,0.0835,0.000704
1951,"11",0.0586,0.0827,0.000708
1951,"12",0.0614,0.0842,0.00073
1951,"13",0.0748,0.0867,0.000808
1951,"14",0.072,0.0885,0.000803
1951,"15",0.086,0.1002,0.000932
1951,"16",0.097,0.1211,0.001091
1951,"17",0.096,0.134,0.001152
1951,"18",0.1039,0.1461,0.001251
1951,"19",0.1091,0.1542,0.001317
1951,"20",0.1232,0.1482,0.001357
1951,"21",0.1286,0.1696,0.001492
1951,"22",0.1423,0.164,0.001532
