"Year","Age","Female","Male","Total","FemalePost","MalePost","Fem1","Mal1"
1950,"0",0.061759,0.071679,0.066844,100.841104433417,98.4419252793684,100.841104433417,98.4419252793684
1951,"0",0.062706,0.072072,0.067505,100.90803524327,98.4978761196458,100.90803524327,98.4978761196458
1952,"0",0.061073,0.070519,0.065909,100.933361363303,98.5265757159563,100.933361363303,98.5265757159563
1953,"0",0.056042,0.064763,0.060512,100.899106289833,98.4919110301347,100.899106289833,98.4919110301347
1954,"0",0.05136,0.061149,0.056369,100.863577926478,98.4849731248808,100.863577926478,98.4849731248808
1955,"0",0.048188,0.056842,0.052613,100.85154168139,98.4624181438141,100.85154168139,98.4624181438141
1956,"0",0.046279,0.054611,0.050542,100.862833335361,98.4728610209816,100.862833335361,98.4728610209816
1957,"0",0.047726,0.056931,0.052437,100.945334750534,98.5649487401655,100.945334750534,98.5649487401655
1958,"0",0.044898,0.054444,0.049783,100.935965064979,98.5707644210001,100.935965064979,98.5707644210001
1959,"0",0.043846,0.051791,0.047916,100.96396869613,98.5712911981314,100.96396869613,98.5712911981314
1960,"0",0.041331,0.049432,0.045486,100.956611412161,98.5751558354986,100.956611412161,98.5751558354986
1961,"0",0.038816,0.047195,0.043112,100.945544508081,98.5793288411216,100.945544508081,98.5793288411216
1962,"0",0.039395,0.047814,0.043706,101.012064266906,98.6428424085932,101.012064266906,98.6428424085932
1963,"0",0.037565,0.046101,0.041931,101.016211514918,98.6568416052956,101.016211514918,98.6568416052956
1964,"0",0.034589,0.041639,0.0382,100.985387848428,98.6055272302477,100.985387848428,98.6055272302477
1965,"0",0.03213,0.040422,0.036379,100.963355696003,98.6263472319705,100.963355696003,98.6263472319705
1966,"0",0.031434,0.039193,0.035406,100.993169019418,98.6459542387908,100.993169019418,98.6459542387908
1967,"0",0.03005,0.037042,0.033628,100.999854957634,98.6399915219742,100.999854957634,98.6399915219742
1968,"0",0.029337,0.036669,0.033092,101.02755520154,98.6803538680416,101.02755520154,98.6803538680416
1969,"0",0.02832,0.035127,0.031807,101.043987339256,98.6878752607179,101.043987339256,98.6878752607179
1970,"0",0.026579,0.03301,0.029877,101.032253887625,98.6761987796531,101.032253887625,98.6761987796531
1971,"0",0.026155,0.032664,0.029501,101.067886221031,98.71614482641,101.067886221031,98.71614482641
1972,"0",0.024235,0.030634,0.027526,101.043357100395,98.7024648142399,101.043357100395,98.7024648142399
1973,"0",0.02342,0.029347,0.026466,101.060862976156,98.7100276760014,101.060862976156,98.7100276760014
1974,"0",0.020588,0.025965,0.023349,100.983694386666,98.6380698655035,100.983694386666,98.6380698655035
1975,"0",0.018484,0.023168,0.02089,100.927604884772,98.5745754430153,100.927604884772,98.5745754430153
1976,"0",0.017016,0.021332,0.019235,100.896566856551,98.5424947581551,100.896566856551,98.5424947581551
1977,"0",0.015549,0.020118,0.017897,100.858122493418,98.5343844407337,100.858122493418,98.5343844407337
1978,"0",0.014894,0.018915,0.016959,100.866797999719,98.5232078007114,100.866797999719,98.5232078007114
1979,"0",0.01364,0.017029,0.015382,100.830559591735,98.4686533542757,100.830559591735,98.4686533542757
1980,"0",0.01246,0.016413,0.014495,100.791789839568,98.4822923235858,100.791789839568,98.4822923235858
1981,"0",0.012597,0.015687,0.014188,100.854438403468,98.4875340023149,100.854438403468,98.4875340023149
1982,"0",0.011689,0.014466,0.013115,100.831341328612,98.4569857654727,100.831341328612,98.4569857654727
1983,"0",0.010915,0.012988,0.011981,100.814544476878,98.399693589891,100.814544476878,98.399693589891
1984,"0",0.009783,0.012508,0.011184,100.75676605924,98.4125192138508,100.75676605924,98.4125192138508
1985,"0",0.009179,0.011405,0.010322,100.744751526891,98.3706856685964,100.744751526891,98.3706856685964
1986,"0",0.008759,0.011092,0.009958,100.749628390723,98.3933409792184,100.749628390723,98.3933409792184
1987,"0",0.008847,0.010588,0.009743,100.811338452933,98.3973211744345,100.811338452933,98.3973211744345
1988,"0",0.008305,0.010349,0.009358,100.799831164386,98.4249728253605,100.799831164386,98.4249728253605
1989,"0",0.007895,0.009303,0.00862,100.800916455917,98.3689028960657,100.800916455917,98.3689028960657
1990,"0",0.007208,0.009116,0.008189,100.761591715404,98.3990801172675,100.761591715404,98.3990801172675
1991,"0",0.007534,0.009338,0.008461,100.857539691257,98.4736241410376,100.857539691257,98.4736241410376
1992,"0",0.007206,0.009304,0.008284,100.864740981202,98.52045949831,100.864740981202,98.52045949831
1993,"0",0.006367,0.007557,0.006979,100.7926687568,98.362972407737,100.7926687568,98.362972407737
1994,"0",0.005773,0.007129,0.00647,100.746445618733,98.3551521324388,100.746445618733,98.3551521324388
1995,"0",0.005365,0.00697,0.006191,100.724863505626,98.3830794236805,100.724863505626,98.3830794236805
1996,"0",0.005883,0.006403,0.006151,100.868747352314,98.3487138680495,100.868747352314,98.3487138680495
1997,"0",0.005075,0.005884,0.005491,100.772720428249,98.3146670788569,100.772720428249,98.3146670788569
1998,"0",0.005073,0.00571,0.005401,100.824039648794,98.3351323383904,100.824039648794,98.3351323383904
1999,"0",0.004661,0.005614,0.005151,100.791050694489,98.368659831267,100.791050694489,98.368659831267
2000,"0",0.004257,0.004833,0.004553,100.752098750834,98.269346784795,100.752098750834,98.269346784795
2001,"0",0.004307,0.005022,0.004675,100.815489056948,98.3581906912723,100.815489056948,98.3581906912723
2002,"0",0.003964,0.00488,0.004434,100.784214454233,98.3799906890068,100.784214454233,98.3799906890068
2003,"0",0.003578,0.003896,0.003742,100.733478209741,98.2052788935268,100.733478209741,98.2052788935268
2004,"0",0.003549,0.00406,0.003812,100.777053485208,98.296994519965,100.777053485208,98.296994519965
1950,"1",0.011354,0.011177,0.011264,156.224703179888,152.702474248833,156.224703179888,152.702474248833
1951,"1",0.011057,0.011021,0.011039,156.278312019099,152.766727658293,156.278312019099,152.766727658293
1952,"1",0.010383,0.009749,0.010058,156.29553339326,152.722398791384,156.29553339326,152.722398791384
1953,"1",0.008054,0.008015,0.008034,156.121647634768,152.604857822951,156.121647634768,152.604857822951
1954,"1",0.006505,0.006435,0.006469,155.988165116703,152.463603839091,155.988165116703,152.463603839091
1955,"1",0.005603,0.005585,0.005594,155.919011405722,152.400245391717,155.919011405722,152.400245391717
1956,"1",0.005165,0.005234,0.0052,155.91772957211,152.413645724457,155.91772957211,152.413645724457
1957,"1",0.00542,0.005637,0.005531,156.04603551739,152.566130890602,156.04603551739,152.566130890602
1958,"1",0.005192,0.005557,0.005379,156.08317391374,152.630146236954,156.08317391374,152.630146236954
1959,"1",0.004666,0.004685,0.004675,156.056472340338,152.5377627195,156.056472340338,152.5377627195
1960,"1",0.004265,0.004397,0.004333,156.046727580082,152.552628255161,156.046727580082,152.552628255161
1961,"1",0.003525,0.003811,0.003672,155.936281067803,152.487906348007,155.936281067803,152.487906348007
1962,"1",0.003645,0.003669,0.003657,156.049872229399,152.528242832642,156.049872229399,152.528242832642
1963,"1",0.003244,0.003241,0.003243,156.013438232591,152.482514572582,156.013438232591,152.482514572582
1964,"1",0.00279,0.002872,0.002832,155.942787924572,152.439950260761,155.942787924572,152.439950260761
1965,"1",0.00241,0.002725,0.002571,155.876488308641,152.465718998844,155.876488308641,152.465718998844
1966,"1",0.002274,0.002467,0.002373,155.898517188866,152.444562369429,155.898517188866,152.444562369429
1967,"1",0.002042,0.002207,0.002126,155.871021745681,152.41150262031,155.871021745681,152.41150262031
1968,"1",0.001919,0.002195,0.00206,155.889011475364,152.484359500716,155.889011475364,152.484359500716
1969,"1",0.001908,0.002028,0.00197,155.963378063764,152.483536501071,155.963378063764,152.483536501071
1970,"1",0.001746,0.001839,0.001794,155.954765180555,152.464017322117,155.954765180555,152.464017322117
1971,"1",0.001442,0.001555,0.0015,155.843583994401,152.374579883279,155.843583994401,152.374579883279
1972,"1",0.001351,0.001421,0.001387,155.858513246916,152.362774147916,155.858513246916,152.362774147916
1973,"1",0.001236,0.001178,0.001206,155.849663779373,152.253540345184,155.849663779373,152.253540345184
1974,"1",0.000997,0.001127,0.001064,155.714894143717,152.287590456166,155.714894143717,152.287590456166
1975,"1",0.000879,0.001032,0.000957,155.669043503841,152.277838849321,155.669043503841,152.277838849321
1976,"1",0.000861,0.000985,0.000925,155.728468342983,152.309535505604,155.728468342983,152.309535505604
1977,"1",0.000844,0.000917,0.000881,155.788641565551,152.316310297842,155.788641565551,152.316310297842
1978,"1",0.00082,0.000904,0.000864,155.839908643614,152.380341147131,155.839908643614,152.380341147131
1979,"1",0.00077,0.000867,0.00082,155.857110050603,152.416859724673,155.857110050603,152.416859724673
1980,"1",0.000814,0.000868,0.000842,155.992795134158,152.496321423706,155.992795134158,152.496321423706
1981,"1",0.00071,0.000788,0.00075,155.93621497059,152.477936760056,155.93621497059,152.477936760056
1982,"1",0.000646,0.000694,0.000671,155.921864736738,152.429219591859,155.921864736738,152.429219591859
1983,"1",0.000696,0.000743,0.00072,156.076530125689,152.575752637223,156.076530125689,152.575752637223
1984,"1",0.000556,0.000495,0.000525,155.932063992006,152.247923316227,155.932063992006,152.247923316227
1985,"1",0.000511,0.000588,0.00055,155.927780520359,152.49840146271,155.927780520359,152.49840146271
1986,"1",0.000434,0.000565,0.000501,155.844570696655,152.536809207111,155.844570696655,152.536809207111
1987,"1",0.000604,0.000587,0.000595,156.25521559289,152.653317256946,156.25521559289,152.653317256946
1988,"1",0.000484,0.000528,0.000506,156.113841534071,152.625697681978,156.113841534071,152.625697681978
1989,"1",0.000403,0.000443,0.000424,156.010808421701,152.52848012947,156.010808421701,152.52848012947
1990,"1",0.000422,0.000445,0.000434,156.136992406191,152.611293602744,156.136992406191,152.611293602744
1991,"1",0.000476,0.000514,0.000496,156.337520178786,152.833751547186,156.337520178786,152.833751547186
1992,"1",0.00049,0.000504,0.000497,156.446622948059,152.892413510956,156.446622948059,152.892413510956
1993,"1",0.000503,0.000463,0.000482,156.552922959454,152.885873258124,156.552922959454,152.885873258124
1994,"1",0.000387,0.000429,0.000409,156.370872714784,152.887912084119,156.370872714784,152.887912084119
1995,"1",0.00045,0.000447,0.000448,156.601810836919,153.007322720958,156.601810836919,153.007322720958
1996,"1",0.000393,0.000456,0.000425,156.546488098424,153.105565897012,156.546488098424,153.105565897012
1997,"1",0.000517,0.000329,0.00042,156.900836593463,152.857439799416,156.900836593463,152.857439799416
1998,"1",0.000284,0.000305,0.000295,156.381883189515,152.860002786411,156.381883189515,152.860002786411
1999,"1",0.000332,0.000287,0.000309,156.618159152671,152.877482186717,156.618159152671,152.877482186717
2000,"1",0.000308,0.000307,0.000308,156.623239199128,153.023156679697,156.623239199128,153.023156679697
2001,"1",0.000267,0.000323,0.000296,156.560503306954,153.152270216486,156.560503306954,153.152270216486
2002,"1",0.000283,0.000309,0.000296,156.698816778597,153.186268131314,156.698816778597,153.186268131314
2003,"1",0.000248,0.00025,0.000249,156.646913859519,153.052696733432,156.646913859519,153.052696733432
2004,"1",0.000227,0.000287,0.000258,156.638550363235,153.269026992483,156.638550363235,153.269026992483
1950,"2",0.003606,0.003956,0.003785,121.609909635884,120.747298698883,121.609909635884,120.747298698883
1951,"2",0.003404,0.003562,0.003485,121.614625778037,120.704309161631,121.614625778037,120.704309161631
1952,"2",0.003311,0.003497,0.003406,121.649288882115,120.747814126485,121.649288882115,120.747814126485
1953,"2",0.002911,0.00316,0.003039,121.582899344537,120.708402387643,121.582899344537,120.708402387643
1954,"2",0.002444,0.002527,0.002487,121.470402777306,120.546784880091,121.470402777306,120.546784880091
1955,"2",0.002228,0.002506,0.00237,121.440235114285,120.600361599799,121.440235114285,120.600361599799
1956,"2",0.001973,0.002452,0.002218,121.381050075484,120.640499453039,121.381050075484,120.640499453039
1957,"2",0.002124,0.00236,0.002244,121.517160008047,120.664178745643,121.517160008047,120.664178745643
1958,"2",0.002054,0.002275,0.002167,121.546012072397,120.689418870649,121.546012072397,120.689418870649
